algorithm,scenario,type,size,obj_value,cv_obj_value,runtime,cv_runtime
ILS,1,C,300,605.4,12.741415790008817,22.2805679027,41.4521046567988
ILS,1,C,500,783.2222222222222,7.2979769917725354,636.4667430346667,22.925024190122752
ILS,1,C,700,665.4,4.585392264705652,1927.9269019958003,29.20025946626949
ILS,1,C,800,615.4,6.603371426133931,2945.0882791553,33.41109026281808
ILS,1,C,1000,509.8,7.328852219627915,11807.9167667552,82.71833776116256
ILS,1,FC,300,624.9,15.817721282848149,89.8078664003,61.15489416589516
ILS,1,FC,500,770.4,4.819703962643347,1322.0920802877997,61.59093304960983
ILS,1,FC,700,714.9,3.0191917809091797,5032.096785291999,33.14416128234506
ILS,1,FC,800,690.9,5.105196376979534,7814.560277107,46.3235576628136
ILS,1,FC,1000,660.3333333333334,4.152476609385493,13448.343395329166,46.53080445794024
ILS,1,NC,300,563.3,20.462788633866484,21.8736039561,46.22052210977636
ILS,1,NC,500,520.3,3.547464654002209,1641.4003130877002,54.07714643926514
ILS,1,NC,700,428.0,2.6433898362113926,4753.5991941395005,23.843734547353726
ILS,2,C,300,396.8,4.8792590441679575,10.2987823862,37.743053907141785
ILS,2,C,500,304.9,8.622792414599493,432.09623494289997,51.33465277485519
ILS,2,C,700,221.7,12.521914241106174,1063.8999868832,23.728533609537877
ILS,2,C,800,199.4,14.805853805902863,1878.0870852448,50.725477838286515
ILS,2,C,1000,169.0,6.838238983573852,3268.7427409892,45.64401532983181
ILS,2,FC,300,442.2,4.033816925605139,23.1556465985,58.89387348069104
ILS,2,FC,500,420.4,7.230756269217273,667.2465772942,42.636750894866225
ILS,2,FC,700,405.7,5.2597489234809816,1770.9537435045997,30.306918595298622
ILS,2,FC,800,395.8,4.218958061017658,2763.6550616533996,48.73773634206273
ILS,2,FC,1000,406.0,3.59564670615077,7007.138668413199,34.7269911014203
ILS,2,NC,300,256.7,8.689599698454332,9.7168352192,43.34408945988309
ILS,2,NC,500,196.5,6.908343577369715,170.9971306876,73.07923171780418
ILS,2,NC,700,142.6,11.34706981098353,584.9289255279001,53.053023712181655
ILS,2,NC,800,137.1,11.286384747191816,1358.8675365431998,50.241869028942766
ILS,2,NC,1000,105.2,14.663315684950762,2068.9816466583998,44.51446388305919
ILS,3,C,300,828.8,20.72324048705366,91.1378046275,56.717829157824404
ILS,3,C,500,1009.9,11.403991461602796,879.7480331003999,32.418736415022714
