scenario,type,size,obj+AF8-value,cv+AF8-obj+AF8-value,runtime,cv+AF8-runtime
1,C,300,596.900,2.808,22.691,37.728
1,C,500,731.667,7.308,474.879,24.136
1,C,700,604.000,10.020,1112.264,21.427
1,C,800,549.300,10.405,1667.957,40.696
1,C,1000,489.000,5.218,3104.853,35.632
1,FC,300,605.600,5.853,11.484,32.317
1,FC,500,703.800,4.293,406.387,27.090
1,FC,700,677.900,7.390,2694.584,65.295
1,FC,800,645.600,8.605,5951.099,43.612
1,FC,1000,634.600,4.642,12955.387,30.784
1,NC,300,577.200,10.978,24.569,34.399
1,NC,500,478.100,11.366,843.071,47.724
1,NC,700,395.900,9.445,1936.197,26.075
1,NC,800,355.300,11.845,3301.989,61.823
2,C,300,377.700,10.794,15.200,29.776
2,C,500,273.900,10.830,242.039,30.066
2,C,700,207.900,16.026,529.286,32.630
2,C,800,209.000,2.030,965.776,0.652
2,NC,300,246.100,14.218,12.050,54.543
2,NC,500,163.500,21.480,127.418,39.387
2,NC,700,130.000,14.947,328.564,37.628
2,NC,800,110.700,7.689,593.583,30.845
2,NC,1000,99.100,17.312,726.671,19.726
3,C,300,664.200,6.350,14.383,123.553
3,C,500,1062.600,6.749,613.050,39.002
3,C,700,1438.600,4.472,4081.584,38.901
3,C,800,1643.000,2.898,9447.102,47.347
3,C,1000,1992.750,2.918,23884.546,6.504
3,NC,300,698.200,11.343,109.606,65.738
3,NC,500,1085.400,3.117,1813.432,42.879
