scenario,type,size,obj+AF8-value,cv+AF8-obj+AF8-value,runtime,cv+AF8-runtime
1,C,300,605.400,12.741,22.281,41.452
1,C,500,783.222,7.298,636.467,22.925
1,C,700,665.400,4.585,1927.927,29.200
1,C,800,615.400,6.603,2945.088,33.411
1,C,1000,509.800,7.329,11807.917,82.718
1,FC,300,624.900,15.818,89.808,61.155
1,FC,500,770.400,4.820,1322.092,61.591
1,FC,700,714.900,3.019,5032.097,33.144
1,FC,800,690.900,5.105,7814.560,46.324
1,FC,1000,660.333,4.152,13448.343,46.531
1,NC,300,563.300,20.463,21.874,46.221
1,NC,500,520.300,3.547,1641.400,54.077
1,NC,700,428.000,2.643,4753.599,23.844
2,C,300,396.800,4.879,10.299,37.743
2,C,500,304.900,8.623,432.096,51.335
2,C,700,221.700,12.522,1063.900,23.729
2,C,800,199.400,14.806,1878.087,50.725
2,C,1000,169.000,6.838,3268.743,45.644
2,FC,300,442.200,4.034,23.156,58.894
2,FC,500,420.400,7.231,667.247,42.637
2,FC,700,405.700,5.260,1770.954,30.307
2,FC,800,395.800,4.219,2763.655,48.738
2,FC,1000,406.000,3.596,7007.139,34.727
2,NC,300,256.700,8.690,9.717,43.344
2,NC,500,196.500,6.908,170.997,73.079
2,NC,700,142.600,11.347,584.929,53.053
2,NC,800,137.100,11.286,1358.868,50.242
2,NC,1000,105.200,14.663,2068.982,44.514
3,C,300,828.800,20.723,91.138,56.718
3,C,500,1009.900,11.404,879.748,32.419
3,C,700,1309.000,17.185,5453.703,31.405
3,C,800,1404.900,19.085,8260.584,49.683
3,C,1000,1639.167,24.934,18332.526,23.764
3,NC,300,524.600,22.636,17.588,20.642
3,NC,500,972.200,27.673,1719.589,78.683
4,C,300,677.600,14.549,15.715,28.697
4,C,500,868.800,20.941,723.096,24.693
4,C,700,1184.300,24.264,2380.081,32.487
4,C,800,1482.200,21.408,4558.388,46.693
4,C,1000,1992.400,2.839,13900.306,39.529
4,NC,300,559.600,30.593,9.361,44.890
4,NC,500,1032.500,15.804,1010.011,46.261
4,NC,700,1332.000,5.852,4885.013,17.121
