scenario,type,size,obj+AF8-value,cv+AF8-obj+AF8-value,runtime,cv+AF8-runtime
1,C,300,594.500,11.711,13.015,59.716
1,C,500,754.444,8.276,191.315,19.385
1,C,700,578.500,35.740,483.084,40.405
1,C,800,538.700,36.310,625.031,45.860
1,C,1000,499.300,10.731,1099.252,36.551
1,FC,300,590.200,19.962,6.635,42.168
1,FC,500,723.000,5.201,160.533,30.705
1,FC,700,700.700,3.941,533.351,30.341
1,FC,800,681.400,4.950,774.731,37.524
1,FC,1000,665.400,5.424,2030.203,25.620
1,NC,300,580.400,14.415,8.041,35.077
1,NC,500,474.000,6.839,121.929,33.962
1,NC,700,359.500,35.589,279.645,52.349
1,NC,800,346.800,36.034,408.340,40.301
1,NC,1000,278.600,37.042,556.236,49.564
2,C,300,337.800,36.876,1.794,59.003
2,C,500,256.600,35.733,15.324,41.194
2,C,700,221.000,11.685,59.496,29.971
2,C,800,167.500,36.327,78.094,60.193
2,C,1000,123.900,53.999,130.001,64.223
2,FC,300,433.800,6.526,2.701,41.055
2,FC,500,411.200,7.515,40.018,35.487
2,FC,700,398.500,6.608,178.432,25.121
2,FC,800,383.100,3.761,517.748,25.977
2,FC,1000,403.700,3.943,1387.664,27.373
2,NC,300,243.400,13.090,4.170,33.174
2,NC,500,123.700,69.918,40.591,75.742
2,NC,700,111.400,54.137,112.660,67.310
2,NC,800,130.300,17.594,147.289,56.262
2,NC,1000,68.000,71.073,173.378,94.818
3,C,300,944.300,14.862,33.840,156.842
3,C,500,1077.200,13.686,903.053,58.719
3,C,700,1262.400,11.177,4468.634,66.634
3,C,800,1369.300,18.008,8015.251,46.472
3,C,1000,1627.000,19.789,13365.986,48.439
3,NC,300,617.600,22.974,14.003,46.374
3,NC,500,978.300,26.291,1025.388,57.607
3,NC,700,1534.750,2.427,3950.382,8.305
4,NC,300,618.800,28.395,6.637,40.373
4,NC,500,1051.000,6.898,426.713,41.221
4,NC,700,1284.300,8.747,1790.662,36.185
4,NC,800,1417.000,4.092,3015.026,32.987
