scenario,type,size,obj+AF8-value,cv+AF8-obj+AF8-value,runtime,cv+AF8-runtime
1,C,300,408.300,71.615,19.076,66.919
1,C,500,492.667,75.231,227.990,34.087
1,C,700,387.100,86.420,579.788,44.046
1,C,800,352.300,86.291,835.896,23.610
1,C,1000,397.200,53.483,1374.994,29.683
1,FC,300,240.700,110.188,4.875,33.112
1,FC,500,341.000,105.535,167.298,42.971
1,FC,700,465.100,69.504,565.586,22.004
1,FC,800,588.100,35.731,957.063,26.217
1,FC,1000,436.000,69.470,1839.022,29.954
1,NC,300,496.200,40.327,10.561,31.201
1,NC,500,377.700,54.146,164.280,40.546
1,NC,700,288.100,69.078,424.871,34.638
1,NC,800,257.500,69.504,540.363,33.284
1,NC,1000,263.500,53.284,2142.535,67.877
2,C,300,148.600,129.479,3.435,39.202
2,C,500,236.900,53.049,62.457,52.243
2,C,700,113.200,87.025,195.297,35.069
2,C,800,150.700,54.943,243.761,30.084
2,C,1000,106.100,71.235,359.724,20.788
2,FC,300,257.600,86.221,6.444,41.947
2,FC,500,251.300,86.468,197.816,38.324
2,FC,700,232.100,86.516,606.725,39.335
2,FC,800,309.100,52.951,837.481,26.538
2,FC,1000,277.200,69.329,2063.002,19.723
2,NC,300,200.900,54.336,2.997,39.330
2,NC,500,74.900,130.261,70.461,29.956
2,NC,700,83.600,87.959,195.966,33.366
2,NC,800,24.600,212.769,307.212,51.476
2,NC,1000,54.400,107.012,522.086,39.599
3,C,300,483.300,107.178,59.145,54.099
3,C,500,585.000,89.263,417.163,50.641
3,C,700,931.000,55.626,1331.428,51.568
3,C,800,1040.200,53.422,3400.353,37.135
3,C,1000,1404.800,58.946,10547.592,27.703
3,FC,300,491.400,70.889,36.888,100.407
3,FC,500,577.100,86.543,337.109,37.715
3,FC,700,801.000,72.583,1319.934,37.660
3,FC,800,1023.300,56.374,3059.329,60.497
3,FC,1000,635.200,131.588,4467.283,57.314
3,NC,300,522.400,63.521,10.567,45.241
3,NC,500,671.800,76.912,313.685,58.773
3,NC,700,1053.500,48.929,3048.476,34.883
